"Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Owns_House","Property_Area","Loan_Status"
0,0,1,0,61884,NA,145,180,0,"Urban",0
1,3,0,0,71120,13059,223,360,1,"Rural",1
0,2,0,0,7942,36257,393,180,0,"Urban",0
0,0,0,0,65681,20710,254,60,0,"Rural",0
0,1,1,1,10370,42360,104,180,1,"Urban",0
0,3,0,0,47132,15201,275,180,1,"Urban",1
1,2,0,0,16672,17577,356,360,1,"Urban",0
1,2,1,1,55934,4994,330,120,1,"Rural",1
0,3,1,0,59209,7506,666,120,1,"Rural",1
0,0,0,0,11467,1497,351,300,1,"Rural",0
0,2,1,0,29935,9442,254,300,1,"Rural",0
0,0,0,0,547210,2410,269,240,1,"Urban",1
1,3,1,1,65230,44510,477,60,0,"Rural",0
0,2,0,0,14551,26154,190,240,0,"Semiurban",0
0,1,1,1,57924,8666,504,240,0,"Urban",0
0,1,1,1,51652,31652,194,300,0,"Semiurban",0
0,1,1,1,45384,21515,575,300,1,"Rural",0
0,3,0,0,57488,20432,207,180,1,"Urban",1
0,2,0,0,51597,39695,154,120,1,"Rural",1
0,3,0,1,56274,15421,338,300,0,"Urban",0
1,2,1,1,158970,21008,681,360,1,"Urban",0
0,1,1,1,71005,41230,234,180,1,"Rural",1
0,1,1,1,50604,23065,266,360,0,"Rural",0
0,0,0,1,42819,30252,80,360,0,"Urban",0
1,3,1,1,12782,38785,328,120,1,"Semiurban",1
1,3,0,0,33398,7005,524,360,0,"Urban",1
1,0,0,0,56532,46877,274,360,0,"Rural",0
0,1,0,0,28688,31811,226,60,0,"Rural",0
0,1,0,1,28644,37225,133,360,1,"Semiurban",1
0,3,0,0,43433,32351,617,360,1,"Semiurban",1
1,2,1,1,280330,27195,141,180,0,"Urban",0
0,1,1,1,53966,9186,57,180,1,"Urban",1
1,0,1,0,6907,49920,623,120,0,"Semiurban",1
1,0,1,1,39499,46098,103,120,1,"Urban",1
1,0,1,0,11273,25120,212,60,0,"Rural",0
1,3,1,0,65419,5074,680,360,0,"Urban",0
1,3,0,0,47666,9123,528,240,1,"Urban",1
0,3,1,1,16478,24666,157,360,0,"Semiurban",1
0,3,0,1,11273,47066,320,360,1,"Rural",0
1,0,0,1,52245,20717,675,60,1,"Urban",1
0,0,0,0,49400,47565,286,120,0,"Urban",1
0,3,0,1,42708,39959,310,300,1,"Rural",1
1,3,0,0,35552,40316,578,120,0,"Rural",0
1,0,1,1,54560,19352,653,180,1,"Rural",1
0,3,1,0,29430,31626,678,120,1,"Urban",0
0,3,1,0,31575,45832,436,60,0,"Semiurban",0
0,3,0,1,61433,27653,452,300,0,"Urban",0
0,3,1,1,52775,31289,407,360,1,"Urban",0
1,1,1,0,46436,2659,268,300,0,"Rural",0
0,3,0,0,55624,633,514,60,1,"Rural",0
1,0,0,1,35938,15716,470,60,1,"Urban",1
1,0,1,0,29358,35996,198,120,0,"Rural",0
0,0,0,1,11769,25800,406,240,0,"Urban",1
0,0,0,1,20285,17632,100,60,1,"Rural",0
0,3,0,0,25287,17366,103,180,1,"Semiurban",1
1,1,1,1,50361,35278,188,60,1,"Urban",1
1,2,0,0,48805,20234,162,300,0,"Urban",0
1,2,0,1,34347,20377,476,60,1,"Rural",1
1,2,0,0,11986,48384,547,120,1,"Urban",1
0,2,0,1,5066,33757,341,360,1,"Urban",0
1,0,0,1,45779,1616,395,120,0,"Urban",0
1,3,1,0,60714,31150,560,60,0,"Rural",0
0,3,1,1,59112,8616,490,60,0,"Rural",0
1,2,0,0,62032,9622,681,360,1,"Urban",1
1,2,0,0,22705,18019,652,240,1,"Semiurban",0
0,1,1,0,27104,45160,530,180,0,"Semiurban",0
1,1,1,0,45125,39163,277,300,1,"Urban",1
1,1,0,0,61852,31364,659,120,1,"Semiurban",1
1,0,0,1,40326,37986,139,120,1,"Urban",1
1,3,1,1,48536,16561,585,300,0,"Rural",0
0,0,0,1,57070,13576,445,60,0,"Semiurban",1
1,0,0,1,28099,5251,124,360,1,"Semiurban",1
0,3,1,1,36006,NA,385,180,0,"Urban",0
1,1,1,1,27810,28352,213,240,0,"Urban",0
0,3,1,1,10388,33487,568,300,0,"Rural",0
0,2,1,0,62247,35896,614,180,0,"Semiurban",0
0,1,0,0,43850,23419,205,120,1,"Semiurban",1
1,3,0,0,28511,29080,552,180,1,"Semiurban",1
1,0,0,1,666120,27577,383,60,1,"Semiurban",1
1,3,0,0,42224,14597,540,240,1,"Urban",1
0,1,1,1,28394,35557,656,180,0,"Rural",0
1,2,1,1,56269,25229,377,60,1,"Semiurban",1
1,0,0,1,62459,22645,50,120,0,"Rural",0
1,2,0,0,70975,44516,409,240,1,"Urban",1
1,2,0,0,13019,15306,676,240,0,"Urban",0
0,0,1,0,25470,27968,386,240,1,"Urban",1
0,3,1,1,619760,12595,602,120,0,"Rural",0
1,3,1,1,51003,25065,236,360,1,"Rural",1
1,2,0,1,32658,25920,318,120,1,"Semiurban",1
1,3,0,1,14928,39668,480,360,0,"Rural",0
0,1,0,0,428040,32636,588,60,0,"Rural",1
1,2,1,0,54243,33375,172,360,1,"Semiurban",1
0,2,0,0,41318,15072,601,120,1,"Urban",1
0,2,1,0,50812,36359,268,60,0,"Urban",0
1,1,0,1,48048,38413,465,180,1,"Rural",1
1,2,0,1,45875,4119,235,120,0,"Semiurban",0
1,3,1,0,27591,5311,637,240,0,"Rural",1
0,3,1,1,16891,8944,613,180,0,"Rural",0
0,3,0,1,NA,3048,254,300,1,"Urban",0
1,3,1,0,29152,37212,385,60,1,"Semiurban",0
0,2,1,0,52457,4120,439,300,0,"Rural",0
1,1,1,1,74348,11653,353,300,1,"Rural",1
1,0,1,0,39112,16000,561,240,0,"Rural",0
0,3,1,0,23840,33782,275,60,0,"Urban",0
0,0,0,0,4208,45654,562,60,0,"Urban",1
0,0,0,0,21242,9960,78,240,0,"Rural",0
0,2,0,0,4971,21280,653,360,1,"Semiurban",1
1,3,0,0,32795,23437,664,60,0,"Urban",0
1,3,1,0,NA,25534,561,240,1,"Rural",0
1,3,0,0,14502,34359,684,60,0,"Urban",0
0,0,1,0,31577,44221,663,360,0,"Urban",0
1,3,0,1,13354,13339,403,300,1,"Rural",1
0,3,0,0,70663,35356,521,120,0,"Urban",0
0,1,1,0,26860,35306,364,120,1,"Urban",1
0,2,0,0,36328,14823,606,60,1,"Rural",1
1,3,0,1,45769,12459,328,240,0,"Urban",0
0,3,0,0,23771,6181,337,60,1,"Rural",1
0,2,0,0,55084,12208,416,300,0,"Rural",1
0,2,0,1,44250,32009,380,60,0,"Rural",0
0,0,0,1,NA,13035,446,300,0,"Urban",1
0,0,0,0,53580,5876,434,360,1,"Semiurban",1
0,0,1,1,20331,1475,627,360,0,"Semiurban",0
0,2,0,1,165720,13780,560,300,1,"Urban",0
0,1,0,1,12896,26636,607,60,0,"Urban",1
0,3,0,1,36077,24121,79,240,0,"Rural",0
0,2,0,1,74325,30978,246,240,1,"Semiurban",1
0,1,0,0,542210,37843,312,300,0,"Semiurban",0
0,2,0,1,44620,25191,457,60,1,"Urban",1
1,1,1,0,NA,25860,144,60,1,"Rural",0
1,2,0,0,19049,26901,92,120,0,"Urban",0
0,2,0,0,70678,11329,85,120,1,"Urban",1
0,1,1,1,32236,20056,507,360,1,"Semiurban",1
0,1,1,0,24123,35623,178,60,1,"Urban",0
1,1,0,1,29007,18007,568,300,0,"Semiurban",0
1,1,0,0,13142,28025,93,120,0,"Urban",0
1,1,0,0,31498,38404,110,240,0,"Semiurban",0
0,1,1,0,36226,10895,587,180,0,"Semiurban",0
0,1,1,1,43348,9332,412,180,1,"Semiurban",1
0,1,0,0,30524,35598,170,60,1,"Semiurban",1
0,2,0,1,52489,41458,546,300,0,"Rural",0
1,1,1,1,18298,14540,207,360,0,"Semiurban",0
0,1,1,1,15135,4682,306,180,1,"Rural",0
1,2,1,0,39788,9295,624,240,1,"Rural",1
1,2,1,0,27920,35857,320,240,1,"Urban",1
0,0,0,0,65015,34520,360,240,1,"Semiurban",1
1,0,1,0,66010,36782,362,180,0,"Urban",0
1,1,1,1,8643,613,166,120,1,"Urban",0
1,1,0,0,53094,17027,394,240,1,"Semiurban",1
1,0,1,1,19729,43828,227,360,0,"Semiurban",0
0,0,0,1,56046,NA,166,300,1,"Urban",0
0,3,1,0,64039,45652,214,300,0,"Urban",0
1,3,0,0,44284,16202,223,300,0,"Semiurban",1
0,1,1,1,14804,46905,680,120,0,"Rural",0
1,3,0,1,60867,20083,204,300,1,"Rural",1
0,0,0,0,10816,43322,644,300,1,"Urban",1
0,1,1,0,30473,49313,559,180,0,"Rural",1
0,2,0,0,14932,10013,359,120,0,"Urban",1
0,2,0,1,52410,6069,283,120,1,"Semiurban",1
0,0,1,1,26709,27341,400,180,1,"Urban",0
1,3,0,0,9487,36170,211,360,1,"Rural",0
0,2,0,1,20204,10819,640,300,1,"Rural",1
1,3,1,1,8988,NA,341,360,0,"Rural",0
1,2,1,1,30364,45954,176,180,1,"Semiurban",1
0,3,0,1,41403,29173,651,180,1,"Semiurban",0
1,2,0,0,24048,56,143,180,1,"Semiurban",0
0,2,0,1,10093,26920,495,180,0,"Rural",0
1,1,0,0,32196,5996,138,60,1,"Semiurban",1
1,1,0,0,25727,29801,437,240,0,"Semiurban",0
0,0,1,1,45167,33387,298,180,0,"Semiurban",0
0,2,0,0,27884,16041,230,360,0,"Urban",0
0,3,1,0,37607,21258,110,180,1,"Rural",1
0,2,1,0,47312,13066,196,360,0,"Rural",1
1,3,1,1,43769,2613,680,180,0,"Rural",0
0,3,1,0,12575,28837,330,180,0,"Semiurban",0
1,2,0,1,430740,21757,615,240,1,"Semiurban",1
1,3,0,0,13664,19219,161,180,0,"Semiurban",0
1,0,0,0,16299,25241,346,300,0,"Urban",0
1,1,1,0,31032,41087,611,240,1,"Urban",1
1,3,1,0,44397,3557,166,240,0,"Urban",0
1,2,0,1,68991,4171,76,300,0,"Semiurban",0
0,1,1,0,58919,4982,481,60,0,"Semiurban",0
1,0,0,0,61447,13532,360,240,1,"Rural",1
1,3,1,0,68498,39693,439,180,1,"Urban",1
1,3,1,1,47572,220180,511,300,0,"Semiurban",1
0,1,1,1,73274,48562,55,180,1,"Urban",1
0,3,1,0,19775,5737,579,240,1,"Urban",1
1,2,1,0,38389,45670,208,120,0,"Semiurban",0
0,1,1,0,9176,25561,357,300,0,"Urban",0
1,1,1,0,51263,24329,244,360,0,"Urban",1
0,3,0,1,12112,18957,528,240,0,"Semiurban",0
1,0,0,1,30033,1156,279,120,0,"Semiurban",0
0,0,1,1,22984,38421,555,240,0,"Urban",0
0,0,1,0,34742,3868,386,180,0,"Rural",1
0,0,0,0,73044,41203,182,60,1,"Rural",1
1,1,1,0,42210,17151,208,60,0,"Rural",0
1,1,0,0,59806,44177,321,180,0,"Semiurban",0
1,3,0,1,62132,8606,582,60,1,"Rural",1
0,0,0,1,74752,39338,344,180,0,"Semiurban",0
0,0,0,1,27269,11475,379,120,0,"Urban",0
1,3,0,0,68796,45304,330,180,0,"Semiurban",0
0,3,1,0,9833,44066,486,240,0,"Rural",1
1,3,1,0,12527,35654,113,240,0,"Rural",0
1,2,0,0,8944,47356,408,60,0,"Rural",0
1,3,1,0,25518,861,278,240,1,"Rural",1
1,3,0,1,36102,30467,663,300,1,"Rural",1
0,2,1,0,10669,21298,296,240,1,"Urban",1
0,0,1,0,28379,27933,141,180,1,"Urban",1
0,1,1,1,26712,44724,697,300,0,"Urban",1
1,0,1,1,22191,49361,50,300,1,"Urban",0
0,1,1,0,16259,401450,364,300,0,"Semiurban",0
1,1,1,1,40958,38998,340,300,0,"Rural",1
1,3,1,0,28516,22667,295,60,1,"Rural",0
1,3,1,0,38931,527770,289,120,1,"Urban",1
1,2,0,1,14624,43653,530,60,0,"Urban",0
1,0,0,0,NA,16228,321,240,0,"Urban",0
1,0,1,0,35791,34418,566,120,1,"Semiurban",1
0,1,1,0,7652,48820,363,60,0,"Semiurban",1
0,3,1,1,38516,35726,618,360,0,"Urban",0
0,3,0,1,11095,20841,188,120,0,"Rural",0
0,0,1,1,71893,5990,547,60,0,"Semiurban",0
1,2,1,1,11095,12647,376,60,0,"Urban",0
1,3,0,0,58124,18350,170,300,0,"Urban",0
0,2,0,1,31242,3286,441,240,1,"Urban",1
0,0,0,0,29333,18526,514,60,0,"Rural",0
0,0,1,1,16169,33724,226,240,0,"Semiurban",0
0,2,0,1,62222,27620,413,180,1,"Rural",1
0,3,1,0,21916,217,547,60,0,"Semiurban",0
0,0,0,1,41105,35183,210,120,0,"Rural",0
0,1,1,1,72309,22579,599,240,1,"Semiurban",1
0,0,1,0,51194,44305,384,360,1,"Rural",1
1,3,1,1,62422,34235,99,360,1,"Urban",0
1,1,0,0,58617,45742,138,60,0,"Rural",1
1,0,1,1,24045,19256,625,120,0,"Urban",0
1,3,1,0,70593,16416,274,60,1,"Rural",1
0,3,1,1,20061,43879,435,60,0,"Urban",0
1,0,0,0,38742,19871,216,180,0,"Urban",0
0,3,1,1,27860,23171,386,60,1,"Rural",0
1,2,1,0,57800,25000,639,60,1,"Rural",0
0,1,1,1,42212,21266,484,360,1,"Rural",0
0,2,1,1,21224,3078,571,180,1,"Rural",1
1,0,0,1,70414,39406,297,120,1,"Rural",1
1,2,1,0,31538,29410,93,60,1,"Urban",1
0,0,0,0,18037,37630,536,240,1,"Urban",1
0,0,0,1,14690,12118,526,180,0,"Semiurban",0
0,3,1,1,13323,21857,158,60,0,"Semiurban",0
1,3,0,1,6314,12210,119,360,0,"Semiurban",0
1,0,0,1,49185,15031,592,180,0,"Rural",0
0,1,0,1,NA,37062,158,240,1,"Rural",1
1,1,1,1,17356,33482,658,60,1,"Rural",1
0,1,0,1,8340,14770,599,240,0,"Rural",1
1,2,0,1,NA,36748,313,360,1,"Urban",1
1,0,1,1,65550,37151,339,180,1,"Urban",1
1,3,1,1,45675,44689,194,180,1,"Urban",1
1,2,0,0,3392,39630,578,300,0,"Semiurban",0
1,2,0,0,74007,18998,143,360,0,"Semiurban",0
0,3,0,1,53421,810,387,180,0,"Urban",0
0,0,1,1,11137,10647,614,120,0,"Urban",1
1,2,0,1,16997,34798,670,300,1,"Urban",0
0,0,1,0,NA,13204,618,360,1,"Urban",1
0,0,0,0,13397,NA,110,240,0,"Urban",0
1,0,0,1,34530,15245,586,360,0,"Semiurban",0
0,3,1,1,51364,26361,127,120,1,"Rural",1
1,0,0,1,7794,34740,588,120,0,"Rural",0
0,2,1,0,74899,40722,480,240,0,"Urban",0
0,3,0,0,11079,NA,148,240,0,"Rural",0
0,3,1,0,70041,34495,589,240,0,"Urban",0
0,2,1,0,12448,40271,695,300,1,"Urban",0
0,3,0,1,62606,37889,364,120,0,"Rural",0
0,2,1,1,43177,18616,272,240,0,"Rural",0
0,1,0,1,35977,47777,238,120,1,"Rural",1
1,2,1,1,23177,5680,354,300,1,"Urban",0
1,3,1,1,56673,6745,405,60,1,"Semiurban",1
1,2,1,0,22431,7605,529,300,1,"Urban",0
1,1,0,1,70655,33530,89,60,1,"Rural",1
